"Batch ID","Batch Number","Product Code","Product Name","Current Batch Quantity","Expected Quantity from Effective Inventory Movement Replay","Expected Quantity from Canonical Document Chain","Reserved Quantity","Available Quantity","Delivery Challan Outbound Quantity","Sales Invoice Quantity (Physical Movement; Must Be Zero)","Returns Quantity","Manual Adjustments","Stock Rejections","Final Expected Balance","Current vs Final Variance","Movement vs Source Variance","Reconciliation Status","Manual Review Reasons","Repair Required Reasons","Safe Repair Proposals","Reconciliation Basis","Legacy Evidence","Document Chain Evidence","Stored Reserved Quantity","Expected Available Quantity","Approved Return Document Candidate Quantity","Stock Rejection Movement Quantity","Batch Creation Quantity","Batch Creation Movement Quantity","Ambiguous Adjustment Quantity","Unlinked Sale Movement Quantity","Matched Legacy Sale Movement Quantity"
"3f33b652-59ec-4fbb-91a5-0cc01f2a0266","1699/2025","PROD-0008","Corn Starch BP","25","25","25","25","0","2975","0","0","0","0","25","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-008: legacy sale matched to DO-25-0008 through SAPJ-008 (direct sales_invoice_item reference_id) | SAPJ-006: legacy sale matched to DO-25-0006 through SAPJ-006 (direct sales_invoice_item reference_id)","[object Object] | [object Object] | [object Object] | [object Object]","25","0","0",,"3000","3000","0","0","2975"
"b9a3e457-4faa-4a89-882c-018071e2460b","17721025","PROD-0023","Sulfamethoxazole USP","750","750","750","0","750","250","0","0","0","0","750","0","0","VERIFIED","","","","canonical document chain","","[object Object]","0","750","0",,"1000","1000","0","0","0"
"2ee69e79-6213-4f79-abe1-a65f888de3d6","17731025","PROD-0023","Sulfamethoxazole USP","1000","1000","1000","0","1000","0","0","0","0","0","1000","0","0","VERIFIED","","","","canonical document chain","","","0","1000","0",,"1000","1000","0","0","0"
"0db25472-29a7-432f-a847-938f64aab7b0","250816w2","PROD-0010","Microcrystalline Cellulose (PH - 102)","1150","1151","1150","0","1150","850","0","0","1","0","1150","0","1","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-015: legacy sale matched to DO-26-0016 through SAPJ-26-015 (direct sales_invoice_item reference_id) | af0049b7-f2c8-4311-a95c-5c93b79599ed: deterministic historical adjustment 1 (stock_before/stock_after)","[object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","1150","0",,"2000","2000","0","0","25"
"2ef302ab-1ce3-4c95-8024-182b611a9220","250819W1","PROD-0009","Microcrystalline Cellulose (PH - 101)","1200","1200","1200","0","1200","800","0","0","0","0","1200","0","0","VERIFIED","","","","canonical document chain","","[object Object] | [object Object]","0","1200","0",,"2000","2000","0","0","0"
"aaf5b1aa-e6d9-4431-a577-c75724e4b333","25CTH027","PROD-0003","Cetirizine Hydrochloride USP","100","100","100","0","100","0","0","0","0","0","100","0","0","VERIFIED","","","","canonical document chain","","","0","100","0",,"100","100","0","0","0"
"cb7b0b87-79be-40e5-844d-b2bcfed2727e","4001/1101/25/A-3145","PROD-0011","Ibuprofen BP","0","-50","0","0","0","1000","2300","0","-1250","0","0","0","-50","LEGACY VERIFIED","","","","canonical document chain","SAPJ-004: legacy direct sale is exactly reversed by adjustment 08c6b54f-3c96-427a-b321-228491f553e5 | SAPJ-004: legacy direct sale is exactly reversed by adjustment 2d18afd5-a45d-4ab6-829f-c896e2af8d1e | SAPJ-004: legacy direct sale is exactly reversed by adjustment 7d1237a3-fdcd-42e1-a39e-1c238e5feb30 | SAPJ-007: legacy direct sale is exactly reversed by adjustment c1be3cfe-c4d8-4a4d-b919-ab52c0f43294 | SAPJ-26-017: legacy sale matched to DO-26-0018 through SAPJ-26-017 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0009 through SAPJ-005 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0005 through SAPJ-005 (direct sales_invoice_item reference_id) | 6 legacy delivery_challan_reserved row(s) treated as reservation history only | 08c6b54f-3c96-427a-b321-228491f553e5: paired reversal of a legacy direct-invoice movement | 2d18afd5-a45d-4ab6-829f-c896e2af8d1e: paired reversal of a legacy direct-invoice movement | 7d1237a3-fdcd-42e1-a39e-1c238e5feb30: paired reversal of a legacy direct-invoice movement | c1be3cfe-c4d8-4a4d-b919-ab52c0f43294: paired reversal of a legacy direct-invoice movement | ac40ad9e-9c25-41dc-9f7b-8ecd4e7e7d2d: deterministic historical adjustment 600 (stock_before/stock_after) | b470528b-4219-46c2-adf1-97f0a7fff4d8: legacy system adjustment treated as document lifecycle evidence, not an independent current movement | af0c0025-aff0-4d24-97b4-539b1846498d: deterministic historical adjustment -1250 (stock_before/stock_after) | 8d2e80a0-cac5-4ed1-a808-fcacca6df3fe: deterministic historical adjustment -600 (stock_before/stock_after) | b23d5ad6-0a46-4d3e-a6c8-ca3e81ada634: legacy system adjustment treated as document lifecycle evidence, not an independent current movement","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"c20fe01a-fbe3-43ba-93cc-0a2175fee19a","4001/1101/25/A-3146","PROD-0011","Ibuprofen BP","50","700","50","0","50","950","3000","0","300","0","50","0","650","LEGACY VERIFIED","","","","canonical document chain","SAPJ-004: legacy direct sale is exactly reversed by adjustment b958aedc-c604-435c-ad2d-ae064f1380b0 | SAPJ-004: legacy direct sale is exactly reversed by adjustment 82911f01-7b2f-4130-bd2f-58e8bf604c75 | SAPJ-004: legacy direct sale is exactly reversed by adjustment 5fb8e3e4-1dae-4047-8a52-3565ac3a74b9 | SAPJ-007: legacy direct sale is exactly reversed by adjustment e49d95e5-ab34-47da-8cee-1c96f3d12b46 | SAPJ-26-017: legacy sale matched to DO-26-0018 through SAPJ-26-017 (direct sales_invoice_item reference_id) | SAPJ-009: legacy sale matched to DO-25-0007 through SAPJ-009 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0009 through SAPJ-005 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0005 through SAPJ-005 (direct sales_invoice_item reference_id) | 1 legacy delivery_challan_reserved row(s) treated as reservation history only | b958aedc-c604-435c-ad2d-ae064f1380b0: paired reversal of a legacy direct-invoice movement | 82911f01-7b2f-4130-bd2f-58e8bf604c75: paired reversal of a legacy direct-invoice movement | 5fb8e3e4-1dae-4047-8a52-3565ac3a74b9: paired reversal of a legacy direct-invoice movement | e49d95e5-ab34-47da-8cee-1c96f3d12b46: paired reversal of a legacy direct-invoice movement | fa084b1a-cd40-47af-b6f4-0ed09553b46e: deterministic historical adjustment 300 (stock_before/stock_after)","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","50","0",,"1000","1000","0","0","950"
"cb5539e0-4c14-4086-ba30-92cf194d5db2","4001/1101/25/A-3147","PROD-0011","Ibuprofen BP","0","-853","0","0","0","1000","1700","0","-3","0","0","0","-853","MANUAL REVIEW","ambiguous adjustment 2f2e2e0a-8757-4161-9815-f53f12fe9b3f: positive quantity without reliable before/after evidence","3 effective DC movement rows post -1200 against DC item b35dee29-b367-4fa1-b604-770f69d0b0bc quantity 400; 2 duplicate row(s) have no provable reversal","[object Object]","canonical document chain","SAPJ-004: legacy direct sale is exactly reversed by adjustment 4a3259e0-ad7a-4b8a-a45c-44d962aa535a | SAPJ-26-009: legacy sale matched to DO-26-0009 through SAPJ-26-009 (unique invoice number + batch + quantity) | SAPJ-004: legacy sale matched to DO-25-0009 (unique batch + quantity + date-window DC match) | SAPJ-004: legacy sale matched to DO-25-0009 (unique batch + quantity + date-window DC match) | SAPJ-26-009: legacy sale matched to DO-26-0009 through SAPJ-26-009 (unique invoice number + batch + quantity) | SAPJ-26-017: legacy sale matched to DO-26-0018 through SAPJ-26-017 (direct sales_invoice_item reference_id) | SAPJ-009: legacy sale matched to DO-25-0007 through SAPJ-009 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0009 through SAPJ-005 (direct sales_invoice_item reference_id) | SAPJ-26-009: legacy sale matched to DO-26-0009 through SAPJ-26-009 (direct sales_invoice_item reference_id) | 2 legacy delivery_challan_reserved row(s) treated as reservation history only | 4071e4c8-8575-4874-8ae3-f8a715ac1f95: legacy system adjustment treated as document lifecycle evidence, not an independent current movement | 6ae8cc8c-cd9e-47e8-9d27-f737911c12f3: legacy system adjustment treated as document lifecycle evidence, not an independent current movement | 4a3259e0-ad7a-4b8a-a45c-44d962aa535a: paired reversal of a legacy direct-invoice movement | 70be6f14-ce0f-43ea-8112-f0730c7c328e: deterministic historical adjustment 400 (stock_before/stock_after) | 99915de5-9a7a-4e03-8595-02bf2f680e79: deterministic historical adjustment -3 (stock_before/stock_after) | 34f5da53-6aa1-4772-98b6-1ac44915d337: legacy system adjustment treated as document lifecycle evidence, not an independent current movement | 6be881cc-cd54-4080-99f0-289ef1ec4550: deterministic historical adjustment -400 (stock_before/stock_after) | 7372f0f6-b2a2-47ad-9627-428566832b7e: deterministic historical adjustment -50 (stock_before/stock_after) | 44d3811e-1093-420b-9418-2c13f8e079e1: deterministic historical adjustment 50 (stock_before/stock_after)","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","0","0",,"1000","1000","3","0","1900"
"82a80a31-b3ce-487d-b3d1-1d696d6bc588","4001/1101/25/A-4276","PROD-0011","Ibuprofen BP","0","0","0","0","0","1000","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-010: legacy sale matched to DO-26-0011 through SAPJ-26-010 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"ebb4813e-9eea-4951-b622-b35489c2e082","4001/1101/25/A-4277","PROD-0011","Ibuprofen BP","0","0","0","0","0","1000","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-010: legacy sale matched to DO-26-0011 through SAPJ-26-010 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"49fac1bc-54c1-4234-8637-d3c370064302","4001/1101/25/A-4632","PROD-0011","Ibuprofen BP","0","0","0","0","0","1000","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-010: legacy sale matched to DO-26-0011 through SAPJ-26-010 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"576eeb3d-3ebd-4477-ba2e-b2ca82770912","4002/1101/25/A-0512B","PROD-0025","Ibuprofen USP","0","0","0","0","0","1000","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-004: legacy sale matched to DO-26-0004 through SAPJ-26-004 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"fbe27e70-5828-4a2d-a1d7-a8b5394328eb","B108/2026","PROD-0008","Corn Starch BP","0","-25","0","0","0","10000","25","0","0","0","0","0","-25","MANUAL REVIEW","b8a7efcb-bb6f-4b35-84de-624ea1c696eb: orphan sale movement — no invoice item or approved DC item supports this sale movement","","","canonical document chain","SAPJ-26-013: legacy sale matched to DO-26-0014 through SAPJ-26-013 (unique invoice number + batch + quantity) | SAPJ-26-012: legacy sale matched to DO-26-0013 through SAPJ-26-012 (direct sales_invoice_item reference_id)","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","0","0",,"10000","10000","0","25","3550"
"30293586-9382-4eeb-8c4d-67a84a70325f","B109/2026","PROD-0008","Corn Starch BP","0","-9975","0","0","0","9000","975","0","0","0","0","0","-9975","MANUAL REVIEW","9f9d4d9d-4ad1-4cb1-ac91-3f34e0ca39b3: orphan sale movement — no invoice item or approved DC item supports this sale movement","","","canonical document chain","SAPJ-26-013: legacy sale matched to DO-26-0014 through SAPJ-26-013 (unique invoice number + batch + quantity) | legacy Batch Creation ledger gap: 0 effective row(s), movement quantity 0, batch import_quantity 9000","[object Object] | [object Object] | [object Object] | [object Object]","0","0","0",,"9000","0","0","975","8450"
"fb21c9df-d884-4704-881d-b6554fc980bd","BCYPH/2510070","PROD-0018","Cyproheptadine Hydrochloride USP","50","50","50","0","50","0","0","0","0","0","50","0","0","VERIFIED","","","","canonical document chain","","","0","50","0",,"50","50","0","0","0"
"58797b11-ef96-474e-afc4-b73d5dfcce13","BDM/2508060","PROD-0005","Domperidone Maleate BP","0","-25","0","0","0","25","25","0","0","0","0","0","-25","LEGACY VERIFIED","","","","canonical document chain","SAPJ-001: legacy sale matched to DO-25-0001 through SAPJ-001 (unique invoice number + batch + quantity) | SAPJ-001: legacy sale matched to DO-25-0001 through SAPJ-001 (direct sales_invoice_item reference_id)","[object Object] | [object Object] | [object Object]","0","0","0",,"25","25","0","0","50"
"5404fca3-40ac-4525-af04-e3a1a73de372","BDM/2510066","PROD-0005","Domperidone Maleate BP","0","-50","0","0","0","50","0","0","0","0","0","0","-50","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-011: legacy sale matched to DO-26-0012 through SAPJ-26-011 (direct sales_invoice_item reference_id) | legacy Batch Creation ledger gap: 0 effective row(s), movement quantity 0, batch import_quantity 50","[object Object] | [object Object]","0","0","0",,"50","0","0","0","50"
"b31b8023-a57c-4b2d-96e7-ca271de72140","BDOM/2509043","PROD-0021","Domperidone BP","200","200","200","0","200","0","0","0","0","0","200","0","0","VERIFIED","","","","canonical document chain","","","0","200","0",,"200","200","0","0","0"
"48478561-0e04-4904-9dcc-f0b895dd8d62","BLRD/2509044","PROD-0019","Loratadine USP","0","0","0","0","0","30","0","0","0","0","0","0","0","VERIFIED","","","","canonical document chain","","[object Object]","0","0","0",,"30","30","0","0","0"
"6e0aa6a6-9f02-4fcd-a65e-b9eedcfd3d92","DFK/125090136","PROD-0020","Diclofenac Potassium","350","350","350","0","350","150","0","0","0","0","350","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-007: legacy sale matched to DO-26-0007 through SAPJ-26-007 (direct sales_invoice_item reference_id) | SAPJ-26-008: legacy sale matched to DO-26-0008 through SAPJ-26-008 (direct sales_invoice_item reference_id)","[object Object] | [object Object] | [object Object] | [object Object]","0","350","0",,"500","500","0","0","150"
"725ef4cd-d565-466e-a0e8-0b875d87b819","DFS/125120557","PROD-033","Diclofenac Sodium","0","0","0","0","0","925","0","0","0","0","0","0","0","VERIFIED","","","","canonical document chain","","[object Object] | [object Object] | [object Object]","0","0","0",,"925","925","0","0","0"
"5bde75a1-9fd2-44f4-bd37-41393afd9a70","DFS/126010052","PROD-033","Diclofenac Sodium","0","0","0","0","0","50","0","0","0","0","0","0","0","VERIFIED","","","","canonical document chain","","[object Object]","0","0","0",,"50","50","0","0","0"
"99edadaf-868c-4022-b311-0ea9a61520ba","DFS/126030157","PROD-033","Diclofenac Sodium","0","0","0","0","0","500","0","0","0","0","0","0","0","VERIFIED","","","","canonical document chain","","[object Object]","0","0","0",,"500","500","0","0","0"
"f767785c-1d74-4b03-b7be-1e6cd6b8282f","DX/L/25/0048","PROD-0004","Dextromethorphan Hydrobromide USP","30","30","60","30","0","140","30","0","0","0","30","0","-30","LEGACY VERIFIED","","","","complete effective legacy movement replay","SAPJ-26-028: legacy direct-invoice movement supported by invoice SAPJ-26-028 | SAPJ-26-006: legacy sale matched to DO-26-0006 through SAPJ-26-006 (direct sales_invoice_item reference_id) | SAPJ-26-003: legacy sale matched to DO-26-0003 through SAPJ-26-003 (direct sales_invoice_item reference_id) | SAPJ-26-014: legacy sale matched to DO-26-0015 through SAPJ-26-014 (direct sales_invoice_item reference_id)","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","30","0","0",,"200","200","0","0","80"
"ce7c978e-b603-4678-8994-d8e3c49c0112","K007.2/25/07/335","PROD-0002","Minoxidil EP","50","50","50","0","50","0","0","0","0","0","50","0","0","VERIFIED","","","","canonical document chain","","","0","50","0",,"50","50","0","0","0"
"91dbb295-5284-42e6-a7df-bb605ef59e31","KET / 125100608","PROD-0013","Ketoconazole USP","0","0","0","0","0","150","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-010: legacy sale matched to DO-25-0010 through SAPJ-010 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"150","150","0","0","150"
"661ffc10-381b-45fc-8bb6-0482714b8789","LHCP0350525","PROD-0001","Lidocaine HCL USP","0","0","0","0","0","100","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-003: legacy sale matched to DO-25-0003 through SAPJ-003 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"100","100","0","0","100"
"07d37743-ed11-4baa-bf79-ae59a5ac336c","M1CFX10003625N","PROD-0017","Cefixime Trihydrate Powder Micronized","0","0","0","0","0","100","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-005: legacy sale matched to DO-26-0005 through SAPJ-26-005 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"100","100","0","0","100"
"c6006905-45c4-40bf-bc49-05c86e6e1ad0","M1CFX10003725N","PROD-0017","Cefixime Trihydrate Powder Micronized","100","100","100","0","100","0","0","0","0","0","100","0","0","VERIFIED","","","","canonical document chain","","","0","100","0",,"100","100","0","0","0"
"f0e303fd-2227-416f-a323-7903275dd962","MLAH0260425","PROD-0015","Meloxicam","50","50","50","0","50","0","0","0","0","0","50","0","0","VERIFIED","","","","canonical document chain","","","0","50","0",,"50","50","0","0","0"
"69c774d1-f347-4347-9112-5277f8729598","NHP25062","PROD-0007","Ammonium Chloride USP ","0","0","0","0","0","1500","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-002: legacy sale matched to DO-25-0002 through SAPJ-002 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"1500","1500","0","0","1500"
"57e31502-129d-469a-9746-f4ef20fd4eff","PH25097020","PROD-030","Vitamin B6","0","0","0","0","0","50","0","0","0","0","0","0","0","VERIFIED","","","","canonical document chain","","[object Object]","0","0","0",,"50","50","0","0","0"
"c1983658-809f-4448-ad77-4e24b8835f87","PRAH0640725","PROD-0006","Piroxicam USP","100","200","100","0","100","100","0","0","0","0","100","0","100","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-001: legacy sale matched to DO-26-0001 through SAPJ-26-001 (direct sales_invoice_item reference_id)","[object Object]","0","100","0",,"200","200","0","0","100"
"7fb3efd0-bdff-4da3-a7f5-0e3aa24fcbe6","SCPL/MF/014/2025","PROD-0014","Mometasone Furoate","0","0","0","0","0","250","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-011: legacy sale matched to DO-25-0011 through SAPJ-011 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"250","250","0","0","250"
"c2d12c8e-ff67-485d-969d-3139a0a8433f","TMP02260001","PROD-0024","Trimethoprim USP","400","400","400","0","400","0","0","0","0","0","400","0","0","VERIFIED","","","","canonical document chain","","","0","400","0",,"400","400","0","0","0"
"c22d70c6-e9fd-4390-82d9-983ae35096ce","XMEP250178","PROD-0016","Cefixime USP","0","300","0","0","0","500","0","0","0","0","0","0","300","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-002: legacy sale matched to DO-26-0002 through SAPJ-26-002 (direct sales_invoice_item reference_id) | SAPJ-26-016: legacy sale matched to DO-26-0017 through SAPJ-26-016 (direct sales_invoice_item reference_id)","[object Object] | [object Object] | [object Object]","0","0","0",,"500","500","0","0","500"
"ba51cca2-3e6e-433a-835e-a13ad1a7a49d","XMEP260054","PROD-0016","Cefixime USP","125","125","125","125","0","375","0","0","0","0","125","0","0","VERIFIED","","","","canonical document chain","","[object Object] | [object Object]","125","0","0",,"500","500","0","0","0"
