"Batch ID","Batch Number","Product Code","Product Name","Current Batch Quantity","Expected Quantity from Effective Inventory Movement Replay","Expected Quantity from Canonical Document Chain","Reserved Quantity","Available Quantity","Delivery Challan Outbound Quantity","Sales Invoice Quantity (Physical Movement; Must Be Zero)","Returns Quantity","Manual Adjustments","Stock Rejections","Final Expected Balance","Current vs Final Variance","Movement vs Source Variance","Reconciliation Status","Manual Review Reasons","Repair Required Reasons","Safe Repair Proposals","Reconciliation Basis","Legacy Evidence","Document Chain Evidence","Stored Reserved Quantity","Expected Available Quantity","Approved Return Document Candidate Quantity","Stock Rejection Movement Quantity","Batch Creation Quantity","Batch Creation Movement Quantity","Ambiguous Adjustment Quantity","Unlinked Sale Movement Quantity","Matched Legacy Sale Movement Quantity"
"3f33b652-59ec-4fbb-91a5-0cc01f2a0266","1699/2025","PROD-0008","Corn Starch BP","25","25","25","25","0","2975","0","0","0","0","25","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-008: legacy sale matched to DO-25-0008 through SAPJ-008 (direct sales_invoice_item reference_id) | SAPJ-006: legacy sale matched to DO-25-0006 through SAPJ-006 (direct sales_invoice_item reference_id)","[object Object] | [object Object] | [object Object] | [object Object]","25","0","0",,"3000","3000","0","0","2975"
"0db25472-29a7-432f-a847-938f64aab7b0","250816w2","PROD-0010","Microcrystalline Cellulose (PH - 102)","1150","1151","1150","0","1150","850","0","0","1","0","1150","0","1","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-015: legacy sale matched to DO-26-0016 through SAPJ-26-015 (direct sales_invoice_item reference_id) | af0049b7-f2c8-4311-a95c-5c93b79599ed: deterministic historical adjustment 1 (stock_before/stock_after)","[object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","1150","0",,"2000","2000","0","0","25"
"cb7b0b87-79be-40e5-844d-b2bcfed2727e","4001/1101/25/A-3145","PROD-0011","Ibuprofen BP","0","-50","0","0","0","1000","2300","0","-1250","0","0","0","-50","LEGACY VERIFIED","","","","canonical document chain","SAPJ-004: legacy direct sale is exactly reversed by adjustment 08c6b54f-3c96-427a-b321-228491f553e5 | SAPJ-004: legacy direct sale is exactly reversed by adjustment 2d18afd5-a45d-4ab6-829f-c896e2af8d1e | SAPJ-004: legacy direct sale is exactly reversed by adjustment 7d1237a3-fdcd-42e1-a39e-1c238e5feb30 | SAPJ-007: legacy direct sale is exactly reversed by adjustment c1be3cfe-c4d8-4a4d-b919-ab52c0f43294 | SAPJ-26-017: legacy sale matched to DO-26-0018 through SAPJ-26-017 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0009 through SAPJ-005 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0005 through SAPJ-005 (direct sales_invoice_item reference_id) | 6 legacy delivery_challan_reserved row(s) treated as reservation history only | 08c6b54f-3c96-427a-b321-228491f553e5: paired reversal of a legacy direct-invoice movement | 2d18afd5-a45d-4ab6-829f-c896e2af8d1e: paired reversal of a legacy direct-invoice movement | 7d1237a3-fdcd-42e1-a39e-1c238e5feb30: paired reversal of a legacy direct-invoice movement | c1be3cfe-c4d8-4a4d-b919-ab52c0f43294: paired reversal of a legacy direct-invoice movement | ac40ad9e-9c25-41dc-9f7b-8ecd4e7e7d2d: deterministic historical adjustment 600 (stock_before/stock_after) | b470528b-4219-46c2-adf1-97f0a7fff4d8: legacy system adjustment treated as document lifecycle evidence, not an independent current movement | af0c0025-aff0-4d24-97b4-539b1846498d: deterministic historical adjustment -1250 (stock_before/stock_after) | 8d2e80a0-cac5-4ed1-a808-fcacca6df3fe: deterministic historical adjustment -600 (stock_before/stock_after) | b23d5ad6-0a46-4d3e-a6c8-ca3e81ada634: legacy system adjustment treated as document lifecycle evidence, not an independent current movement","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"c20fe01a-fbe3-43ba-93cc-0a2175fee19a","4001/1101/25/A-3146","PROD-0011","Ibuprofen BP","50","700","50","0","50","950","3000","0","300","0","50","0","650","LEGACY VERIFIED","","","","canonical document chain","SAPJ-004: legacy direct sale is exactly reversed by adjustment b958aedc-c604-435c-ad2d-ae064f1380b0 | SAPJ-004: legacy direct sale is exactly reversed by adjustment 82911f01-7b2f-4130-bd2f-58e8bf604c75 | SAPJ-004: legacy direct sale is exactly reversed by adjustment 5fb8e3e4-1dae-4047-8a52-3565ac3a74b9 | SAPJ-007: legacy direct sale is exactly reversed by adjustment e49d95e5-ab34-47da-8cee-1c96f3d12b46 | SAPJ-26-017: legacy sale matched to DO-26-0018 through SAPJ-26-017 (direct sales_invoice_item reference_id) | SAPJ-009: legacy sale matched to DO-25-0007 through SAPJ-009 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0009 through SAPJ-005 (direct sales_invoice_item reference_id) | SAPJ-005: legacy sale matched to DO-25-0005 through SAPJ-005 (direct sales_invoice_item reference_id) | 1 legacy delivery_challan_reserved row(s) treated as reservation history only | b958aedc-c604-435c-ad2d-ae064f1380b0: paired reversal of a legacy direct-invoice movement | 82911f01-7b2f-4130-bd2f-58e8bf604c75: paired reversal of a legacy direct-invoice movement | 5fb8e3e4-1dae-4047-8a52-3565ac3a74b9: paired reversal of a legacy direct-invoice movement | e49d95e5-ab34-47da-8cee-1c96f3d12b46: paired reversal of a legacy direct-invoice movement | fa084b1a-cd40-47af-b6f4-0ed09553b46e: deterministic historical adjustment 300 (stock_before/stock_after)","[object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object] | [object Object]","0","50","0",,"1000","1000","0","0","950"
"82a80a31-b3ce-487d-b3d1-1d696d6bc588","4001/1101/25/A-4276","PROD-0011","Ibuprofen BP","0","0","0","0","0","1000","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-010: legacy sale matched to DO-26-0011 through SAPJ-26-010 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"ebb4813e-9eea-4951-b622-b35489c2e082","4001/1101/25/A-4277","PROD-0011","Ibuprofen BP","0","0","0","0","0","1000","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-010: legacy sale matched to DO-26-0011 through SAPJ-26-010 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"49fac1bc-54c1-4234-8637-d3c370064302","4001/1101/25/A-4632","PROD-0011","Ibuprofen BP","0","0","0","0","0","1000","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-010: legacy sale matched to DO-26-0011 through SAPJ-26-010 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"576eeb3d-3ebd-4477-ba2e-b2ca82770912","4002/1101/25/A-0512B","PROD-0025","Ibuprofen USP","0","0","0","0","0","1000","0","0","0","0","0","0","0","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-004: legacy sale matched to DO-26-0004 through SAPJ-26-004 (direct sales_invoice_item reference_id)","[object Object] | [object Object]","0","0","0",,"1000","1000","0","0","1000"
"58797b11-ef96-474e-afc4-b73d5dfcce13","BDM/2508060","PROD-0005","Domperidone Maleate BP","0","-25","0","0","0","25","25","0","0","0","0","0","-25","LEGACY VERIFIED","","","","canonical document chain","SAPJ-001: legacy sale matched to DO-25-0001 through SAPJ-001 (unique invoice number + batch + quantity) | SAPJ-001: legacy sale matched to DO-25-0001 through SAPJ-001 (direct sales_invoice_item reference_id)","[object Object] | [object Object] | [object Object]","0","0","0",,"25","25","0","0","50"
"5404fca3-40ac-4525-af04-e3a1a73de372","BDM/2510066","PROD-0005","Domperidone Maleate BP","0","-50","0","0","0","50","0","0","0","0","0","0","-50","LEGACY VERIFIED","","","","canonical document chain","SAPJ-26-011: legacy sale matched to DO-26-0012 through SAPJ-26-011 (direct sales_invoice_item reference_id) | legacy Batch Creation ledger gap: 0 effective row(s), movement quantity 0, batch import_quantity 50","[object Object] | [object Object]","0","0","0",,"50","0","0","0","50"
