document_type,document_number,database_id,date,amount,currency,customer_supplier,bank_account,journal_number,exact_problem_fields,exact_problem,why_cannot_repair_automatically,recommended_action,classification,safe_to_delete_and_recreate,disposition
"bank_reconciliation","(none)","5b0a4dfb-666a-43a1-a834-89f2745200c4","2025-12-01","4500000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2511-0067","matched_entry_id, journal_entry_lines.account_id, bank_account_id","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"bank_reconciliation","(none)","2406598b-44b1-4e70-a4cf-f5a9bd41523f","2025-12-30","3800000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0120","matched_entry_id, journal_entry_lines.account_id, bank_account_id","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"bank_reconciliation","(none)","38a49cdd-3ee0-4e73-9359-3e1591a1d7e4","2025-12-30","3000000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0125","matched_entry_id, journal_entry_lines.account_id, bank_account_id","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"bank_reconciliation","(none)","8cfd3ea8-9441-43ba-b859-daad5c8f7f42","2025-12-30","5000000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0126","matched_entry_id, journal_entry_lines.account_id, bank_account_id","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"bank_reconciliation","(none)","9903bb75-b6c2-4911-812e-6a5d5ebe1f20","2025-12-30","3000000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0121","matched_entry_id, journal_entry_lines.account_id, bank_account_id","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"bank_reconciliation","(none)","b8f5c6f4-4717-44e0-a70b-9a8725ca944f","2025-12-30","3500000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0123","matched_entry_id, journal_entry_lines.account_id, bank_account_id","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"bank_reconciliation","(none)","79eec22f-8be7-47cb-8f62-b5f313425580","2026-02-18","570000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2602-0125","matched_entry_id, journal_entry_lines.account_id, bank_account_id","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Reconciled bank line points to an Expense journal that does not post to this bank account GL","Accountant decision for the linked Expense: correcting/reclassification entry or formal reversal and reposting; do not silently change the posted journal account","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"capital_contribution","CC2603-0001","adb03173-061d-4d86-bdf6-41c61636ed9c","2026-03-04","2000.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2607-0050","exchange_rate","Legacy USD capital contribution has no authoritative historical exchange rate; accounting amounts were preserved unchanged","Legacy USD capital contribution has no authoritative historical exchange rate; accounting amounts were preserved unchanged","Authoritative USD-to-IDR rate and rate source for the contribution date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"capital_contribution","CC2606-0001","526ac9e3-044e-4ccf-b032-5d95bbcebe19","2026-06-11","4200.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2607-0049","exchange_rate","Legacy USD capital contribution has no authoritative historical exchange rate; accounting amounts were preserved unchanged","Legacy USD capital contribution has no authoritative historical exchange rate; accounting amounts were preserved unchanged","Authoritative USD-to-IDR rate and rate source for the contribution date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/005","c0d375ad-34ae-4f23-81d6-75eea343e2f2","2025-01-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JV/24-25/007","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/015","f5e42acc-6ae1-4409-ad9a-a8ede1baa7f2","2025-02-28","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JV/24-25/019","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/030","cd8aae87-0424-4c2d-b980-2a5b3b65b3ce","2025-03-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JV/24-25/037","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/038","cf4f4035-0245-4f8f-b050-c90145035088","2025-04-30","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JV/25-26/012","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/052","7a7f6690-c4e1-46ec-b655-bf744c29f220","2025-05-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JV/25-26/029","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/072","d2cfd0eb-ba5e-40e4-a665-b4ec1d54b594","2025-06-30","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JV/25-26/053","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/086","0e07366e-5851-4074-9082-cac63674b79c","2025-07-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JV/25-26/081","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/101","8af9045d-b801-4d1e-b1a2-255d7cd2cd75","2025-08-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JV/25-26/104","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25-25/001","f41dc50f-cf32-4ab6-916f-212d35ff3fbb","2025-09-30","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2509-0026","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/127","a483d602-af68-49af-bc16-df4bbf834a72","2025-09-30","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2509-0025","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25-25/002","bbb3b5df-fdea-42f7-9e44-081c63238750","2025-10-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2510-0060","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/182","973b749e-e8cc-41f9-9d7e-15a261823ab5","2025-10-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2510-0055","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25-25/003","f316339e-30f3-48c7-b034-e6fd4d982644","2025-11-30","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2511-0075","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/253","69ea5d02-4801-484e-ac23-691d1024167d","2025-11-30","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2511-0069","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/291","2c6f954f-d3d9-466d-b8f1-b5a93f138e3f","2025-12-19","1.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2512-0107","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/303","56cf1b07-3b39-4bfc-9cd8-c2708464f476","2025-12-31","3500000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0123","journal_entry_lines.account_id, bank_account_id","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/304","78d9b9b2-741f-43eb-8850-c0d3813d8523","2025-12-31","3000000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0121","journal_entry_lines.account_id, bank_account_id","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/306","bbc5ceb1-f476-402c-8441-1cb960b266c7","2025-12-31","3800000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0120","journal_entry_lines.account_id, bank_account_id","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/307","cce06b2c-d307-4bf9-900a-a12b42e05c10","2025-12-31","5000000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0126","journal_entry_lines.account_id, bank_account_id","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/308","00c288ee-cec3-45f7-9271-406e13662437","2025-12-31","3000000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2512-0125","journal_entry_lines.account_id, bank_account_id","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/25/312","eea9d9ae-35cf-4fbc-810e-265ade6c9b30","2025-12-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2512-0137","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/26-26/076","9a03be92-2800-430a-92c4-5b61663ce7a7","2026-01-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2601-0166","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/26-26/077","4d44a9cf-996b-44cd-9c20-24954bfadeeb","2026-01-31","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2601-0167","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/26/090","26b9194e-7246-4bf1-b822-a2467ab234c4","2026-02-18","570000.00","IDR","","BCA Bank · 0930 2010 14 · IDR","JE2602-0125","journal_entry_lines.account_id, bank_account_id","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Posted expense journal does not use the Expense bank account GL account; legacy logic posted Cash on Hand or another account","Accountant decision: retain history and post an authorised correcting/reclassification entry, or formally reverse and repost the document","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
"expense","EXP/26-26/078","cccd874b-63f1-4e4b-9c0a-ce1b3c7456c8","2026-02-28","5.00","USD","","BCA Bank · 0930 2010 22 · USD","JE2602-0166","exchange_rate","USD currency is certain but no historical transaction-date rate is stored","USD currency is certain but no historical transaction-date rate is stored","Authoritative USD-to-IDR rate and rate source/date","Historical accounting decision required","false","Keep — deletion/recreation could remove audit evidence or rewrite posted history; resolve through an authorised manual correction"
